Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
David McMurtry,2.2,United Kingdom,manufacturing,1444,81,"Wotton-under-Edge, United Kingdom",United Kingdom,Married,3,,TRUE
Rubens Menin Teixeira de Souza,2.2,Brazil,"home building, banking",1444,65,"Belo Horizonte, Brazil",Brazil,Married,3,"Bachelor of Arts/Science, Universidade Federal de Minas Gerais",TRUE
Mi Enhua,2.2,China,retail,1444,63,"Urumqi, China",China,Married,,,TRUE
Bob Parsons,2.2,United States,web hosting,1444,70,"Scottsdale, Arizona",United States,Married,,"Bachelor of Arts/Science, University of Baltimore",TRUE
Catherine Phillips,2.2,Canada,investments,1444,,"Toronto, Canada",Canada,Married,,,TRUE
John Phillips,2.2,Canada,investments,1444,70,"Toronto, Canada",Canada,Married,,"Law Degree, University of Toronto; Bachelor of Arts/Science, University of Toronto (Trinity College)",TRUE
Arvind Poddar,2.2,India,tires,1444,63,"Mumbai, India",India,Married,2,,FALSE
Qian Ying,2.2,China,pig breeding,1444,55,"Nanyang, China",China,Married,,,TRUE
Phillip T. (Terry) Ragon,2.2,United States,health IT,1444,71,"Boston, Massachusetts",United States,Married,,"Bachelor of Arts/Science, Massachusetts Institute of Technology",TRUE
Alberto Roemmers,2.2,Argentina,pharmaceuticals,1444,94,"Buenos Aires, Argentina",Argentina,Married,4,,FALSE
Shashi & Ravi Ruia,2.2,India,diversified,1444,,"Mumbai, India",India,,,,FALSE
Vlad Shmunis,2.2,United States,cloud technology,1444,60,"San Francisco, California",United States,Married,,"Bachelor of Science, San Francisco State University; Master of Science, San Francisco State University",TRUE
Alberto Siccardi & family,2.2,Switzerland,medical devices,1444,77,"Lugano, Switzerland",Switzerland,Married,3,"Master of Business Administration, SDA Bocconi School of Management; Bachelor of Science, University of Turin",TRUE
Sebastian Siemiatkowski,2.2,Sweden,fintech,1444,39,"Stockholm, Sweden",Sweden,,,"Master of Science, Stockholm School of Economics",TRUE
Salil Singhal,2.2,India,agrochemicals,1444,73,"Delhi, India",India,Married,3,,FALSE
Dean Solon,2.2,United States,solar systems,1444,56,"Gallatin, Tennessee",United States,Married,,"Drop Out, Purdue University",TRUE
